Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,184.070007,184.690002,183.929993,184.690002,155.317322,86119900
2014-01-02,183.979996,184.070007,182.479996,182.919998,153.828781,119636900
2014-01-03,183.229996,183.600006,182.630005,182.889999,153.803604,81390600
2014-01-06,183.490005,183.559998,182.080002,182.360001,153.357910,108028200
2014-01-07,183.089996,183.789993,182.949997,183.479996,154.299820,86144200
2014-01-08,183.449997,183.830002,182.889999,183.520004,154.333435,96582300
2014-01-09,184.110001,184.130005,182.800003,183.639999,154.434341,90683400
2014-01-10,183.949997,184.220001,183.009995,184.139999,154.854752,102026400
2014-01-13,183.669998,184.179993,181.339996,181.690002,152.794464,149892000
2014-01-14,182.289993,183.770004,181.949997,183.669998,154.459518,105016100
2014-01-15,184.100006,184.940002,183.710007,184.660004,155.292099,98525800
2014-01-16,184.279999,184.660004,183.830002,184.419998,155.090286,72290600
2014-01-17,184.100006,184.449997,183.320007,183.639999,154.434341,107848700
2014-01-21,184.699997,184.770004,183.050003,184.179993,154.888412,88621200
2014-01-22,184.490005,184.570007,183.910004,184.300003,154.989365,61270900
2014-01-23,183.369995,183.399994,181.820007,182.789993,153.719482,132496900
2014-01-24,181.600006,181.660004,178.830002,178.889999,150.439743,208677100
2014-01-27,179.059998,179.520004,177.119995,178.009995,149.699692,180843100
2014-01-28,178.139999,179.300003,178.119995,179.070007,150.591125,110463200
2014-01-29,177.580002,178.550003,176.880005,177.350006,149.144684,216597300
2014-01-30,178.830002,179.809998,178.259995,179.229996,150.725616,118938100
2014-01-31,177.009995,179.289993,176.919998,178.179993,149.842651,194677900
2014-02-03,177.970001,178.369995,173.830002,174.169998,146.470413,254837100
2014-02-04,174.949997,175.839996,174.110001,175.389999,147.496384,165012400
2014-02-05,174.779999,175.559998,173.710007,175.169998,147.311371,164230500
2014-02-06,175.580002,177.479996,175.220001,177.479996,149.254013,132877600
2014-02-07,178.309998,179.869995,177.729996,179.679993,151.104095,170787200
2014-02-10,179.699997,180.070007,179.210007,180.009995,151.381607,92218800
2014-02-11,180.160004,182.440002,180.039993,181.979996,153.038315,117814100
2014-02-12,182.250000,182.830002,181.710007,182.070007,153.113998,94717700
2014-02-13,180.839996,183.199997,180.830002,183.009995,153.904510,100542200
2014-02-14,182.839996,184.360001,182.669998,184.020004,154.753906,96498400
2014-02-18,184.179993,184.490005,183.649994,184.240005,154.938904,80460900
2014-02-19,183.759995,184.949997,182.869995,183.020004,153.912918,126524300
2014-02-20,183.270004,184.520004,182.600006,184.100006,154.821182,104998100
2014-02-21,184.449997,184.889999,183.800003,183.889999,154.644577,118116400
2014-02-24,184.279999,186.149994,184.199997,184.910004,155.502335,114063900
2014-02-25,185.059998,185.589996,184.229996,184.839996,155.443481,117085000
2014-02-26,185.110001,185.600006,184.330002,184.850006,155.451843,98677200
2014-02-27,184.580002,185.869995,184.369995,185.820007,156.267624,93880800
2014-02-28,185.789993,187.149994,185.050003,186.289993,156.662842,150842000
2014-03-03,184.649994,185.449997,183.750000,184.979996,155.561188,167748500
2014-03-04,186.789993,187.979996,186.750000,187.580002,157.747726,167545900
2014-03-05,187.740005,188.070007,187.449997,187.750000,157.890656,88376900
2014-03-06,188.210007,188.610001,187.779999,188.179993,158.252350,82516500
2014-03-07,188.960007,188.960007,187.429993,188.259995,158.319580,114513500
2014-03-10,187.970001,188.229996,187.080002,188.160004,158.235474,74939200
2014-03-11,188.440002,188.710007,186.800003,187.229996,157.453384,99009100
2014-03-12,186.320007,187.350006,185.899994,187.279999,157.495422,104824400
2014-03-13,187.839996,187.990005,184.660004,185.179993,155.729385,155014300
2014-03-14,184.850006,185.800003,184.440002,184.660004,155.292099,153919600
2014-03-17,185.589996,186.770004,185.509995,186.330002,156.696548,98359500
2014-03-18,186.710007,187.910004,186.509995,187.660004,157.815002,101804600
2014-03-19,187.679993,187.940002,185.470001,186.660004,156.974014,176267300
2014-03-20,186.250000,187.889999,185.919998,187.750000,157.890656,117241000
2014-03-21,187.710007,189.020004,186.029999,186.199997,157.278229,163128000
2014-03-24,186.839996,187.070007,184.619995,185.429993,156.627869,121411000
2014-03-25,186.369995,186.940002,185.270004,186.309998,157.371155,103852000
2014-03-26,187.039993,187.339996,184.919998,184.970001,156.239334,119843000
2014-03-27,184.750000,185.339996,183.899994,184.580002,155.909912,142383000
2014-03-28,185.110001,186.419998,185.000000,185.490005,156.678589,101642000
2014-03-31,186.669998,187.300003,185.520004,187.009995,157.962448,99745000
2014-04-01,187.619995,188.360001,187.000000,188.250000,159.009857,89193000
2014-04-02,188.490005,189.130005,188.139999,188.880005,159.541977,78774000
2014-04-03,189.169998,189.220001,188.050003,188.630005,159.330856,77435000
2014-04-04,189.660004,189.699997,186.100006,186.399994,157.447189,169381000
2014-04-07,185.949997,186.259995,183.960007,184.339996,155.707184,140803000
2014-04-08,184.259995,185.399994,183.589996,185.100006,156.349167,112660000
2014-04-09,185.600006,187.149994,185.059998,187.089996,158.030029,100254000
2014-04-10,187.080002,187.169998,182.929993,183.160004,154.710480,172959000
2014-04-11,182.139999,183.419998,181.309998,181.509995,153.316742,167251000
2014-04-14,182.929993,183.369995,181.440002,182.940002,154.524673,132382000
2014-04-15,183.320007,184.330002,181.509995,184.199997,155.588943,157093000
2014-04-16,185.470001,186.139999,184.649994,186.130005,157.219131,105197000
2014-04-17,185.880005,186.910004,185.559998,186.389999,157.438782,105255000
2014-04-21,186.440002,187.100006,186.210007,187.039993,157.987823,68329000
2014-04-22,187.229996,188.399994,187.130005,187.889999,158.705765,85790000
2014-04-23,187.820007,187.919998,187.300003,187.449997,158.334106,73869000
2014-04-24,188.369995,188.389999,186.929993,187.830002,158.655106,88170000
2014-04-25,187.220001,187.330002,185.869995,186.289993,157.354294,100380000
2014-04-28,187.050003,187.690002,184.960007,186.880005,157.852661,135121000
2014-04-29,187.479996,188.039993,187.080002,187.750000,158.587448,84098000
2014-04-30,187.440002,188.500000,187.179993,188.309998,159.060516,101508000
2014-05-01,188.220001,188.839996,187.729996,188.330002,159.077393,93019000
2014-05-02,188.309998,189.139999,187.779999,188.059998,158.849396,98122000
2014-05-05,187.139999,188.550003,186.619995,188.419998,159.153473,75883000
2014-05-06,188.000000,188.130005,186.740005,186.779999,157.768158,85454000
2014-05-07,187.410004,187.970001,186.009995,187.880005,158.697342,106500000
2014-05-08,187.710007,189.050003,187.080002,187.679993,158.528366,93618000
2014-05-09,187.710007,188.039993,186.830002,187.960007,158.764893,83679000
2014-05-12,188.800003,189.880005,188.000000,189.789993,160.310638,86940000
2014-05-13,190.039993,190.419998,189.770004,189.960007,160.454254,66454000
2014-05-14,189.789993,189.880005,188.789993,189.059998,159.694046,72367000
2014-05-15,188.679993,188.720001,186.479996,187.399994,158.291885,154956000
2014-05-16,187.509995,188.130005,186.720001,188.050003,158.840973,97458000
2014-05-19,187.690002,188.889999,187.520004,188.740005,159.423752,63839000
2014-05-20,188.649994,188.669998,187.070007,187.550003,158.418579,111644000
2014-05-21,188.089996,189.220001,188.059998,189.130005,159.753128,89093000
2014-05-22,189.179993,189.979996,188.860001,189.589996,160.141708,61549000
2014-05-23,189.759995,190.479996,189.589996,190.350006,160.783691,61092800
2014-05-27,191.059998,191.580002,190.949997,191.520004,161.771957,72010000
2014-05-28,191.520004,191.820007,191.059998,191.380005,161.653702,66723000
2014-05-29,191.820007,192.399994,191.330002,192.369995,162.489899,64377000
2014-05-30,192.190002,192.800003,192.029999,192.679993,162.751755,76316000
2014-06-02,192.949997,192.990005,191.970001,192.899994,162.937576,64656000
2014-06-03,192.429993,192.899994,192.250000,192.800003,162.853104,65047000
2014-06-04,192.470001,193.300003,192.270004,193.190002,163.182556,55529000
2014-06-05,193.410004,194.649994,192.699997,194.449997,164.246887,92103000
2014-06-06,194.869995,195.429993,194.779999,195.380005,165.032349,78696000
2014-06-09,195.350006,196.050003,195.169998,195.580002,165.201324,65119000
2014-06-10,195.339996,195.639999,194.919998,195.600006,165.218231,57129000
2014-06-11,194.899994,195.119995,194.479996,194.919998,164.643814,68772000
2014-06-12,194.690002,194.800003,193.110001,193.539993,163.478195,106350000
2014-06-13,193.919998,194.320007,193.300003,194.130005,163.976547,82017000
2014-06-16,193.889999,194.699997,193.660004,194.289993,164.111649,87424000
2014-06-17,194.020004,194.970001,193.809998,194.830002,164.567780,84834000
2014-06-18,194.830002,196.369995,194.399994,196.259995,165.775681,105267000
2014-06-19,196.429993,196.600006,195.800003,196.479996,165.961533,85929000
2014-06-20,196.029999,196.100006,195.699997,195.940002,166.298492,100587000
2014-06-23,195.990005,196.050003,195.520004,195.880005,166.247543,70611000
2014-06-24,195.529999,196.500000,194.479996,194.699997,165.246094,96237000
2014-06-25,194.289993,195.779999,194.250000,195.580002,165.992935,82782000
2014-06-26,195.610001,195.630005,194.130005,195.440002,165.874130,84312000
2014-06-27,194.979996,195.880005,194.889999,195.820007,166.196640,71445100
2014-06-30,195.699997,196.169998,195.529999,195.720001,166.111771,70201200
2014-07-01,196.199997,197.630005,196.130005,197.029999,167.223587,90470000
2014-07-02,197.050003,197.479996,196.960007,197.229996,167.393295,52475000
2014-07-03,197.789993,198.289993,197.639999,198.199997,168.216568,52938800
2014-07-07,197.820007,197.979996,197.220001,197.509995,167.630966,61696000
2014-07-08,197.149994,197.220001,195.759995,196.240005,166.553085,108143000
2014-07-09,196.729996,197.300003,196.309998,197.119995,167.299957,72992000
2014-07-10,195.220001,196.860001,195.059998,196.339996,166.637955,99040000
2014-07-11,196.220001,196.750000,195.779999,196.610001,166.867081,64243000
2014-07-14,197.610001,197.860001,197.440002,197.600006,167.707306,58658000
2014-07-15,197.720001,198.100006,196.360001,197.229996,167.393295,111307000
2014-07-16,198.110001,198.259995,197.419998,197.960007,168.012894,79986400
2014-07-17,197.350006,198.100006,195.429993,195.710007,166.103271,145398000
2014-07-18,196.350006,197.910004,196.240005,197.710007,167.800705,124330000
2014-07-21,197.089996,197.500000,196.429993,197.339996,167.486664,67592000
2014-07-22,198.009995,198.559998,197.869995,198.199997,168.216568,67678000
2014-07-23,198.500000,198.850006,198.100006,198.639999,168.590012,65612000
2014-07-24,198.830002,199.059998,198.449997,198.649994,168.598511,56888000
2014-07-25,198.089996,198.259995,197.330002,197.720001,167.809128,76837000
2014-07-28,197.759995,198.089996,196.619995,197.800003,167.877151,69259000
2014-07-29,198.169998,198.449997,196.919998,196.949997,167.155670,80466000
2014-07-30,197.649994,197.910004,196.160004,196.979996,167.181122,104222000
2014-07-31,195.610001,195.779999,192.970001,193.089996,163.879562,183479000
2014-08-01,192.559998,193.759995,191.570007,192.500000,163.378860,189261000
2014-08-04,192.869995,194.300003,192.050003,193.889999,164.558548,91340000
2014-08-05,193.100006,193.600006,191.309998,192.009995,162.962952,152690000
2014-08-06,191.110001,192.889999,191.080002,192.070007,163.013901,94818000
2014-08-07,192.940002,193.130005,190.550003,191.029999,162.131241,135733000
2014-08-08,191.460007,193.369995,190.949997,193.240005,164.006897,117014000
2014-08-11,193.970001,194.660004,193.710007,193.800003,164.482178,74544000
2014-08-12,193.610001,194.149994,192.940002,193.529999,164.253052,73632000
2014-08-13,194.289993,195.059998,193.960007,194.839996,165.364838,69047000
2014-08-14,195.160004,195.759995,194.979996,195.759995,166.145737,57371000
2014-08-15,196.470001,196.649994,194.309998,195.720001,166.111771,139951000
2014-08-18,196.800003,197.449997,196.690002,197.360001,167.503632,75424000
2014-08-19,197.839996,198.539993,197.440002,198.389999,168.377853,59135000
2014-08-20,198.119995,199.160004,198.080002,198.919998,168.827652,72763000
